"subject","object","probability"
"astragalus glycyphyllos","milk vetch","1"
"undine","water nymph","1"
"sorcery","magic","1"
"casting","choice","1"
"schtick","prank","1"
"genus castoroides","mammal genus","1"
"bourgeois","commoner","1"
"benign tumor","neoplasm","1"
"phragmites communis","reed","1"
"shakespearian","scholar","1"
"nympho","deviant","1"
"piping","tubing","1"
"courgette","marrow squash","1"
"carjacking","highjack","1"
"sevensome","assemblage","1"
"canicular days","period of time","1"
"early wake-robin","wood lily","1"
"editorship","situation","1"
"school bus","motorcoach","1"
"pulsation","wave","1"
"shout","vocalization","1"
"shareholder","investor","1"
"rich person","someone","1"
"pulverization","solid","1"
"rapid climb","rising","1"
"home equity credit","loan","1"
"monitoring device","video display","1"
"nursing school","school","1"
"aluminum business","industry","1"
"hydrargyrum","metal","1"
"oxygen deficit","shortfall","1"
"clothespress","press","1"
"pontederiaceae","liliopsid family","1"
"arteria perinealis","artery","1"
"spermicide","preventive","1"
"anarchism","ideology","1"
"power structure","organization","1"
"riposte","counterattack","1"
"non-standard speech","speech communication","1"
"enrollee","someone","1"
"cab","equipage","1"
"intravenous anesthetic","anaesthetic","1"
"dereliction","neglect","1"
"epigraph","quote","1"
"nascence","modification","1"
"absolute frequency","cardinal number","1"
"money handler","somebody","1"
"conceit","turn of expression","1"
"roentgen ray","electromagnetic wave","1"
"faeroese","scandinavian","1"
"neuter","gender","1"
"cartoon","humor","1"
"snogging","cuddling","1"
"sapphic ode","ode","1"
"brachinus","arthropod genus","1"
"bilby","bandicoot","1"
"compartment","room","1"
"half-intensity","intensity level","1"
"business data processing","data processing","1"
"rebuff","offence","1"
"letters patent","legal instrument","1"
"birr","sound","1"
"muscularity","physiological condition","1"
"beta decay","radioactive decay","1"
"ground","panorama","1"
"kowtow","obeisance","1"
"outskirts","section","1"
"order auriculariales","fungus order","1"
"migrator","creature","1"
"pfc","greenhouse emission","1"
"warehouse","depot","1"
"arriere pensee","dubiety","1"
"streetwalker","sporting lady","1"
"nothosaur","archosaurian","1"
"winner","mortal","1"
"commission","offense","1"
"juggernaut","idol","1"
"loaner","investor","1"
"white-coat hypertension","hypertension","1"
"soup kitchen","charity","1"
"gibraltar fever","infectious disease","1"
"deferral","abeyance","1"
"dermacentor variabilis","ixodid","1"
"garlic press","press","1"
"irony","humor","1"
"gordian knot","problem","1"
"regulation","ascendance","1"
"epigone","aper","1"
"plater","skilled worker","1"
"glory lily","poisonous plant","1"
"embroidery","needlecraft","1"
"nuclear winter","cataclysm","1"
"liquidambar","gum tree","1"
"wherry","dinghy","1"
"launcher","device","1"
"blue","vesture","1"
"alytes obstetricans","toad","1"
"crampbark","shrub","1"
"spanish moss","aerophyte","1"
"rubeola","contagious disease","1"
"labourite","political leader","1"
"sobbing","tears","1"
"eye","attention","1"
"geometrical regularity","correspondence","1"
"dravidian","indian","1"
"plasmacytoma","tumour","1"
"one-dimensionality","dimensionality","1"
"skivvy","house servant","1"
"morning dress","frock","1"
"slowcoach","lagger","1"
"classicalism","idiom","1"
"infringement","criminal offence","1"
"melanoplus","arthropod genus","1"
"blurb","publicity","1"
"bhutani","asiatic","1"
"kerosine","fuel","1"
"modelling","representation","1"
"mandarin orange","citrous fruit","1"
"scrubbiness","inferiority","1"
"walloper","striker","1"
"steam line","pipe","1"
"sop","morsel","1"
"greasiness","blubber","1"
"bay","water","1"
"bargee","seafarer","1"
"solanum elaeagnifolium","nightshade","1"
"directory","listing","1"
"aetobatus narinari","eagle ray","1"
"rue family","rosid dicot family","1"
"green","environmentalist","1"
"steatite","talc","1"
"ewenki","oriental person","1"
"withy","twig","1"
"genus delonix","rosid dicot genus","1"
"pulverisation","obliteration","1"
"yearbook","reference","1"
"white anglo-saxon protestant","caucasian","1"
"track record","achievement","1"
"allium sativum","alliaceous plant","1"
"monogamy","spousal relationship","1"
"a-bomb","atomic weapon","1"
"american liquorice","herbaceous plant","1"
"intravenous anesthetic","anesthetic","1"
"nose","chemoreceptor","1"
"phenylic acid","dissolver","1"
"urology","medicine","1"
"heterogeneousness","nonuniformity","1"
"setting","surround","1"
"accordance","giving","1"
"latinae","subfamily","1"
"toner","solution","1"
"tube","complex body part","1"
"burton","ale","1"
"actualisation","creating by mental acts","1"
"prelate","priest","1"
"midriff","region","1"
"civic duty","responsibility","1"
"gumbo","herb","1"
"victorian","mortal","1"
"ozonide","compound","1"
"job","application","1"
"divan","boardroom","1"
"clam","lamellibranch","1"
"three-point switch","electrical switch","1"
"boletus luridus","bolete","1"
"cayenne","flavorer","1"
"medical officer","medical practitioner","1"
"indic","indo-iranian","1"
"celeriac","herbaceous plant","1"
"file system","classification system","1"
"brown bullhead","bullhead","1"
"moorish","architectural style","1"
"adhesiveness","stickiness","1"
"cardamine rotundifolia","watercress","1"
"climbing fern","climber","1"
"disk","round shape","1"
"interspersion","combining","1"
"pike","percoid fish","1"
"yellow bristlegrass","foxtail","1"
"walkabout","perambulation","1"
"object lesson","warning","1"
"whisper","speech production","1"
"fermi-dirac statistics","law","1"
"runcible spoon","spoon","1"
"work permit","legal document","1"
"red sandalwood","tree","1"
"shua","religious sect","1"
"kansas","dhegiha","1"
"erwinia","enterics","1"
"pitchfork","hand tool","1"
"trickiness","complexity","1"
"grocery bag","carrier bag","1"
"pseudo","cheater","1"
"quartette","musical organisation","1"
"plea bargain","bargaining","1"
"saccade","eye movement","1"
"hemstitch","sewing stitch","1"
"ornateness","appearance","1"
"scrutin de liste system","electoral system","1"
"adult female","female","1"
"venturer","individual","1"
"bourbon","whiskey","1"
"cannikin","pail","1"
"friar's lantern","visible light","1"
"quilted bedspread","bedcover","1"
"tourist court","hotel","1"
"francoa ramosa","bush","1"
"repartee","witticism","1"
"top fermentation","zymolysis","1"
"payment rate","rate","1"
"preordination","theological doctrine","1"
"bushing","dielectric","1"
"exponent","intellect","1"
"predictor","electronic computer","1"
"skin graft","cutis","1"
"sob stuff","tale","1"
"point","headland","1"
"sash","framework","1"
"proconsulate","berth","1"
"mortification","instance","1"
"nephelium","dicot genus","1"
"villeinage","land tenure","1"
"anomaly","person","1"
"britches","knee pants","1"
"concentrate","ore","1"
"meninx","tissue layer","1"
"neology","invention","1"
"pen-friend","letter writer","1"
"healthcare","care","1"
"pore","channel","1"
"menstrual cycle","oscillation","1"
"caprimulgidae","bird family","1"
"onondaga","iroquois","1"
"revery","abstraction","1"
"focusing","concentration","1"
"fluorochrome","dye","1"
"conclusion","assumption","1"
"mcardle's disease","genetic disorder","1"
"gypsum board","wallboard","1"
"curdling","activity","1"
"yard goods","ware","1"
"mongolian","oriental person","1"
"colaptes","bird genus","1"
"visionary","mortal","1"
"p","chemical element","1"
"mustard agent","vesicant","1"
"us marine corps","marines","1"
"blackamoor","somebody","1"
"ramp","inclined plane","1"
"virologist","microbiologist","1"
"plywood","laminate","1"
"epsom salts","physic","1"
"flow","expelling","1"
"peromyscus gossypinus","wood mouse","1"
"persona non grata","soul","1"
"phone line","connective","1"
"strictness","restrictiveness","1"
"mass hysteria","frenzy","1"
"falls","perianth","1"
"ischaemia","anemia","1"
"negativism","quality","1"
"paternity","relationship","1"
"portuguese","romance","1"
"eggbeater","heavier-than-air craft","1"
"pace car","motorcar","1"
"bell jar","protective cover","1"
"indian rosewood","rosewood","1"
"huddler","somebody","1"
"mission","duty assignment","1"
"eyes","view","1"
"baseball bat","bat","1"
"alliaceae","liliid monocot family","1"
"pythiaceae","fungus family","1"
"opening","artefact","1"
"belly flopper","diving","1"
"human waste","excretion","1"
"barrelfish","butterfish","1"
"effecter","somebody","1"
"haganah","military unit","1"
"lodging","fixture","1"
"fakeer","muslim","1"
"class arachnida","class","1"
"restharrow","suffrutex","1"
"relation","judicial principle","1"
"warning signal","signaling","1"
"stinking bean trefoil","bush","1"
"u308","compound","1"
"salvia verbenaca","sage","1"
"gynaecology","medicine","1"
"government accounting office","agency","1"
"full point","punctuation","1"
"juggernaut","force","1"
"firefly","elater","1"
"epos","poem","1"
"synoptic gospels","religious text","1"
"valetudinarian","sick person","1"
"psychopharmacology","pharmacological medicine","1"
"activewear","attire","1"
"genus cottus","fish genus","1"
"trust corporation","financial organization","1"
"prefixation","affixation","1"
"bonnet monkey","macaque","1"
"jugglery","play","1"
"nutlet","nut","1"
"serictery","secretory organ","1"
"catholic school","parochial school","1"
"unilateralism","philosophical system","1"
"nrem sleep","sleep","1"
"somesthesia","perception","1"
"proliferation","development","1"
"permanganic acid","acid","1"
"heretic","pariah","1"
"commercial traveler","interpreter","1"
"indument","natural covering","1"
"white fox","fox","1"
"tabernacle","place of worship","1"
"opv","poliovirus vaccine","1"
"meclizine hydrochloride","antihistamine","1"
"australian honeysuckle","banksia","1"
"effusion","flood","1"
"crud","disease","1"
"cider vinegar","vinegar","1"
"strabismus","abnormality","1"
"retardation","holdup","1"
"revivalist","sermonizer","1"
"cashier","soul","1"
"canis lupus tundrarum","wolf","1"
"omb","executive agency","1"
"low","degree","1"
"crow's feet","line","1"
"toy soldier","doll","1"
"myrsinaceae","magnoliopsid family","1"
"eastern pasque flower","pasqueflower","1"
"tatu","armadillo","1"
"arctic ground squirrel","spermophile","1"
"quartet","digit","1"
"have-not","unfortunate person","1"
"construction","creating from raw materials","1"
"showy lady's-slipper","ladies' slipper","1"
"post office","branch","1"
"lesion","hurt","1"
"citrus tangelo","citrus","1"
"resection","surgical operation","1"
"recurring decimal","decimal fraction","1"
"civil wrong","misconduct","1"
"document","written material","1"
"fencer","battler","1"
"butch","lesbian","1"
"call-in","phone call","1"
"violin lesson","music lesson","1"
"t-bar","surface lift","1"
"monic polynomial","multinomial","1"
"hard disk","disc","1"
"mint","large indefinite amount","1"
"pyroxylin","guncotton","1"
"training program","educational program","1"
"clog dance","tap dance","1"
"harmonic mean","mean","1"
"apostrophe","punctuation mark","1"
"obliterator","eliminator","1"
"methionine","essential amino acid","1"
"mastopathy","pathology","1"
"effervescence","gaseousness","1"
"wood pewee","flycatcher","1"
"girondist","revolutionary","1"
"fraud","chicanery","1"
"glass sponge","parazoan","1"
"abscondment","desertion","1"
"lagerstroemia speciosa","flowering tree","1"
"spanish iris","beardless iris","1"
"zion","fictitious place","1"
"indentation","blank space","1"
"fire bush","bush","1"
"deposition","examination","1"
"wrack","wipeout","1"
"tailplane","surface","1"
"grain merchant","merchandiser","1"
"card sharper","defrauder","1"
"sledge","vehicle","1"
"blood coagulation","clotting","1"
"atsugewi","hokan","1"
"yucca","shrub","1"
"pinnatiped","aquatic mammal","1"
"edible-pod pea","pea plant","1"
"abutter","landowner","1"
"ouster","someone","1"
"pickle relish","relish","1"
"vaudeville theater","house","1"
"faux pas","boner","1"
"distension","physiological condition","1"
"panting","textile","1"
"haplopappus acaulis","wild flower","1"
"aureolaria","asterid dicot genus","1"
"treadwheel","milling machinery","1"
"glume","bract","1"
"printing ink","ink","1"
"clammy locust","locust","1"
"knot","bunch","1"
"account","record","1"
"worrier","wet blanket","1"
"gospel","true statement","1"
"barcarolle","song","1"
"data structure","system","1"
"jade vine","liana","1"
"split","crevice","1"
"installment loan","consumer credit","1"
"fosterling","small fry","1"
"abducent","cranial nerve","1"
"barbershop","shop","1"
"slant-eye","oriental","1"
"deaf person","person","1"
"beehive","hairdo","1"
"obliquity","abnormality","1"
"filth","waste product","1"
"catalysis","chemical action","1"
"calamine lotion","lotion","1"
"preachification","moralizing","1"
"allowance","permit","1"
"nude","nudeness","1"
"new world least weasel","weasel","1"
"single combat","fight","1"
"chariot race","race","1"
"black box","recording machine","1"
"irregularity","imbalance","1"
"redberry","herb christopher","1"
"scapegrace","reprobate","1"
"conveyance","transference","1"
"paynim","gentile","1"
"polymastigote","mastigophoran","1"
"light reflex","instinctive reflex","1"
"schoolgirl","little girl","1"
"khat","stimulant drug","1"
"cold turkey","verbal expression","1"
"genus anthurium","monocot genus","1"
"main road","route","1"
"slayer","soul","1"
"survivorship annuity","annuity","1"
"advance","change of location","1"
"sales talk","promotional material","1"
"new world tapir","tapir","1"
"centromere","structure","1"
"quinidine","antiarrhythmic","1"
"scoop","concave shape","1"
"channukah","jewish holy day","1"
"frisbee","plaything","1"
"woolly bear moth","woolly bear","1"
"standing order","order","1"
"mop handle","handgrip","1"
"superhet","receiving set","1"
"scute","protective covering","1"
"amphitheater","arena","1"
"remora","acanthopterygian","1"
"washstand","piece of furniture","1"
"road runner","runner","1"
"handgun","small-arm","1"
"student center","center","1"
"paleobiology","palaeontology","1"
"work","job","1"
"schoolma'am","schoolteacher","1"
"pc board","board","1"
"modiste","garment-worker","1"
"leonurus cardiaca","herb","1"
"peneplane","champaign","1"
"pediculati","animal order","1"
"gambling den","building","1"
"ginger","flavourer","1"
"senility","geezerhood","1"
"party boss","politician","1"
"course","line","1"
"elymus trachycaulos","wheatgrass","1"
"aleurites fordii","flowering tree","1"
"suborder ceratopsia","animal order","1"
"capillary vein","vein","1"
"white trumpet lily","lily","1"
"lighting","apparatus","1"
"gambling den","place of business","1"
"large crabgrass","crab grass","1"
"ade","drinkable","1"
"literary work","written material","1"
"varmint","animal","1"
"comic strip","sketch","1"
"oregon maple","maple","1"
"fake","feint","1"
"sissu","tree","1"
"stockbroker belt","suburb","1"
"decimetre","metric linear unit","1"
"coccothraustes","bird genus","1"
"common buttercup","buttercup","1"
"sailing vessel","watercraft","1"
"earflap","flap","1"
"butterscotch","confect","1"
"illiterate person","uneducated person","1"
"personal manner","deportment","1"
"sulphur dioxide","pollutant","1"
"mandarin duck","duck","1"
"commissioned military officer","commissioned officer","1"
"thraldom","subjection","1"
"cut","absence","1"
"monophysite","adherent","1"
"junction","place","1"
"quartering","arms","1"
"phencyclidine hydrochloride","hallucinogen","1"
"turkey","bust","1"
"maple sugar","saccharide","1"
"umbrella bird","chatterer","1"
"acanthophis","reptile genus","1"
"meal","nourishment","1"
"sturdiness","healthiness","1"
"dummy whist","long whist","1"
"security staff","staff","1"
"camphor oil","oil","1"
"tailed frog","frog","1"
"ameiuridae","fish family","1"
"tsunami","tragedy","1"
"river pear","edible fruit","1"
"smear","mar","1"
"hermitage","dwelling","1"
"vaccinium myrsinites","blueberry","1"
"histoincompatibility","incompatibility","1"
"genus salicornia","caryophylloid dicot genus","1"
"fescue grass","grass","1"
"studentship","position","1"
"adiposity","fatness","1"
"uncertainty","quality","1"
"toll plaza","tract","1"
"lodge","house","1"
"norwegian elkhound","hound dog","1"
"verbal intelligence","intelligence","1"
"lesser scaup","scaup","1"
"good luck","destiny","1"
"public trust","trust","1"
"rafflesiaceae","dicot family","1"
"liver chestnut","equus caballus","1"
"plumbing","utility","1"
"speckled rattlesnake","rattlesnake","1"
"dead mail","missive","1"
"outlook","looking at","1"
"purism","insistence","1"
"keratoderma blennorrhagica","keratosis","1"
"sticherus flabellatus","fern","1"
"gambusia affinis","poeciliid fish","1"
"homozygote","zygote","1"
"panax","rosid dicot genus","1"
"hearth","dwelling house","1"
"draught beer","beer","1"
"convict","offender","1"
"finding","physical object","1"
"courgette","marrow","1"
"shearer","skilled worker","1"
"headgear","stable gear","1"
"crier","bellower","1"
"dar al-harb","geographical area","1"
"showmanship","attainment","1"
"red amaranth","amaranth","1"
"pus","liquid body substance","1"
"inning","section","1"
"vasovesiculitis","redness","1"
"shag","intercourse","1"
"reducing","loss","1"
"animal disease","disease","1"
"extraction","derivation","1"
"visual modality","exteroception","1"
"citizenship day","day","1"
"unease","discomfort","1"
"mirror image","similitude","1"
"cellular phone","radiophone","1"
"briony","vine","1"
"goa bean","edible bean","1"
"pin clover","storksbill","1"
"basketball game","court game","1"
"brunet","mortal","1"
"pony","race horse","1"
"knock-on effect","result","1"
"thurifer","acolyte","1"
"have","person","1"
"tubercle bacillus","mycobacterium","1"
"gand flower","milkwort","1"
"central vision","visual modality","1"
"barrelhouse","taproom","1"
"fountain pen","pen","1"
"bare bones","nitty-gritty","1"
"medical center","eye","1"
"mischance","fortune","1"
"pill pusher","health care provider","1"
"hegemon","great power","1"
"childbirth","birthing","1"
"naturism","practice","1"
"priorship","berth","1"
"bigwig","personage","1"
"leishmania","flagellate protozoan","1"
"slenderness","spareness","1"
"quotation","note","1"
"arroba","weight unit","1"
"wednesday","weekday","1"
"loaf sugar","loaf","1"
"dissembler","trickster","1"
"gritstone","sandstone","1"
"malus sylvestris","wild apple","1"
"approver","authority","1"
"tursiops gilli","bottlenose","1"
"phenol","solvent","1"
"dyscrasia","unhealthiness","1"
"operant conditioning","conditioning","1"
"analeptic","excitant","1"
"intima","membrane","1"
"electric shock","hurt","1"
"sundew family","magnoliopsid family","1"
"melon ball","melon","1"
"telephone system","communication system","1"
"anhima","bird genus","1"
"compact-disk burner","recording machine","1"
"oldie","song","1"
"fluff","blooper","1"
"whiplash","trauma","1"
"pteropsida","division","1"
"vena epigastrica superficialis","epigastric vein","1"
"privilege","advantage","1"
"munj","grass","1"
"cassareep","seasoning","1"
"regulatory offence","law-breaking","1"
"puff","bedclothes","1"
"rose","bush","1"
"genus dipladenia","magnoliopsid genus","1"
"secretary of state","secretary","1"
"criticality","urgency","1"
"sherpa","asian","1"
"munition","armament","1"
"bacteriostasis","organic process","1"
"vena thyroidea","venous blood vessel","1"
"cruiser","machine","1"
"civil servant","official","1"
"collar cell","flagellated cell","1"
"red algae","alga","1"
"minority","social group","1"
"suspension point","point","1"
"angular position","spatial relation","1"
"achromaticity","visual property","1"
"hope","expectation","1"
"dirty trick","prank","1"
"slot","receptacle","1"
"glade","parcel","1"
"morning room","parlour","1"
"allegation","claim","1"
"malicious mischief","roguery","1"
"supply-side economics","political economy","1"
"tingle","fear","1"
"sophomore","lowerclassman","1"
"professorship","spot","1"
"semi","motortruck","1"
"computer hardware","element","1"
"artocarpus","magnoliopsid genus","1"
"plaything","artefact","1"
"visually impaired person","someone","1"
"accounting","account","1"
"trolleybus","charabanc","1"
"little brown myotis","vespertilian bat","1"
"fishing permit","permit","1"
"stir","disruption","1"
"masterpiece","achievement","1"
"peculation","stealing","1"
"complication","disease","1"
"devilfish","whalebone whale","1"
"side arm","firearm","1"
"high wind","air current","1"
"atomic number 70","metallic element","1"
"population","collection","1"
"ameer","ruler","1"
"cyano radical","chemical group","1"
"hemianopia","vision defect","1"
"taro","arum","1"
"carriage trade","commercialism","1"
"st john's wort family","dilleniid dicot family","1"
"ligustrum japonicum","privet","1"
"weakness","impotence","1"
"right","piece of ground","1"
"prumnopitys taxifolia","conifer","1"
"estimation","regard","1"
"lead","counsel","1"
"pad","leafage","1"
"yeomanry","home guard","1"
"quartern","common fraction","1"
"aide-memoire","memorandum","1"
"terminus a quo","offset","1"
"logical positivism","empiricism","1"
"warp","deformation","1"
"military intelligence section 6","international intelligence agency","1"
"hearing","sensing","1"
"arrest","inactivity","1"
"renaissance","resurgence","1"
"mecholyl","medication","1"
"diapir","geological formation","1"
"fimbria","process","1"
"order anostraca","animal order","1"
"page","attendant","1"
"breaking","change of integrity","1"
"majority","age","1"
"shad","food fish","1"
"hallucinosis","psychological state","1"
"zoning","sectionalization","1"
"salability","quality","1"
"sexagenarian","senior citizen","1"
"share","apportioning","1"
"ladder-back","backrest","1"
"tupi","south american indian","1"
"calves' feet","veau","1"
"sexual abuse","statutory offence","1"
"apportionment","distribution","1"
"vinca rosea","herbaceous plant","1"
"tricolor television tube","color tube","1"
"mortgage application","loan application","1"
"dithyramb","address","1"
"dryas octopetala","suffrutex","1"
"hyperfocal distance","distance","1"
"genus anagyris","rosid dicot genus","1"
"scout car","self-propelled vehicle","1"
"jack","sailor","1"
"metastasis","pathologic process","1"
"enemy","antagonist","1"
"mooring mast","tower","1"
"thrust","actuation","1"
"car","motor vehicle","1"
"electrical shock","reflex","1"
"stock room","storage room","1"
"wight","county","1"
"dadaism","art movement","1"
"redbrush","cornel","1"
"third baseman","infielder","1"
"hall's honeysuckle","honeysuckle","1"
"egg-and-dart","moulding","1"
"firm","business organisation","1"
"euonymous alatus","spindleberry","1"
"favorite","choice","1"
"mutualism","interdependency","1"
"salmagundi","aggregation","1"
"bookclub","social club","1"
"painted sandgrouse","sand grouse","1"
"gambling casino","gambling den","1"
"topper","chapeau","1"
"shower","bathing","1"
"neb","mouth","1"
"child's room","bedroom","1"
"host","regular army","1"
"lynch mob","rout","1"
"weasel","somebody","1"
"fishbone","os","1"
"christianisation","conversion","1"
"sweetness","aroma","1"
"fertility","fruitfulness","1"
"vacillation","indecision","1"
"greenwing","teal","1"
"airstream","wind","1"
"family gasterosteidae","fish family","1"
"striped button quail","hemipode","1"
"front-porch campaigning","candidacy","1"
"emergence","human activity","1"
"cable television","television","1"
"coral-root bittercress","bittercress","1"
"pyrrophyta","phylum","1"
"muscular structure","system","1"
"notification","informing","1"
"genus turritis","dilleniid dicot genus","1"
"deepness","low pitch","1"
"dithered colour","colouring","1"
"radioimmunoassay","immunochemical assay","1"
"syntax language","metalanguage","1"
"water level","geological formation","1"
"wash-and-wear","textile","1"
"transfiguration of jesus","miracle","1"
"indorsement","promotion","1"
"pigmy","small person","1"
"procreation","sexual activity","1"
"abstract artist","painter","1"
"onion","bulb","1"
"stadium","structure","1"
"terabyte","computer memory unit","1"
"centaurium minus","centaury","1"
"automobile","motor vehicle","1"
"esotropia","squint","1"
"advertising","packaging","1"
"transvestite","someone","1"
"good faith","honestness","1"
"french blue","ultramarine blue","1"
"intermezzo","composition","1"
"net sales","income","1"
"acute lymphoblastic leukemia","acute leukemia","1"
"prefix notation","parenthesis-free notation","1"
"audiotape","tape","1"
"kidney failure","renal disorder","1"
"scrophulariales","plant order","1"
"invulnerability","strength","1"
"corpus mamillare","neural structure","1"
"teetotaler","abstinent","1"
"nitrobenzene","organic compound","1"
"philology","humanistic discipline","1"
"metallized dye","acid dye","1"
"broadax","axe","1"
"conditioned avoidance","conditional response","1"
"order batrachia","animal order","1"
"x-ray","radiograph","1"
"joint fir","bush","1"
"kelpie","sheep dog","1"
"panorama","visual image","1"
"endemic typhus","typhus","1"
"jeweller","merchant","1"
"reform school","correctional institution","1"
"side-look","glance","1"
"hair grease","toiletry","1"
"midafternoon","daytime","1"
"affliction","hard knocks","1"
"jugular vein","vein","1"
"looking glass tree","flowering tree","1"
"tax boost","increase","1"
"genus ovis","mammal genus","1"
"linaria canadensis","butter-and-eggs","1"
"natural immunity","immunity","1"
"scout troop","social unit","1"
"reader","pedagog","1"
"pepto-bismal","alkalizer","1"
"romneya coulteri","suffrutex","1"
"tetrose","monosaccharide","1"
"sciadopitys verticillata","coniferous tree","1"
"nitrogen oxide","oxide","1"
"gerbillinae","mammal family","1"
"fetology","tocology","1"
"nonstarter","unfortunate person","1"
"conductor","stuff","1"
"subordinateness","inferiority","1"
"double-breasted suit","suit of clothes","1"
"offertory","offering","1"
"arguing","difference of opinion","1"
"showman","soul","1"
"overeating","mortal sin","1"
"prank","tomfoolery","1"
"documentary","film","1"
"panegyrist","speechifier","1"
"frequency","cardinal number","1"
"electrolytic condenser","electrical condenser","1"
"enterobiasis","infestation","1"
"cusk-eel","percoid fish","1"
"blackberry","berry","1"
"grey catbird","oscine","1"
"annihilation","demolition","1"
"steersman","old salt","1"
"warji","west chadic","1"
"severity","difficultness","1"
"gun","discharge","1"
"rural area","geographic region","1"
"sight","exteroception","1"
"vitriol","acid","1"
"fanion","flag","1"
"chance","danger","1"
"a la carte","carte du jour","1"
"hair drier","blower","1"
"pecten irradians","scallop","1"
"bastion","fortification","1"
"balloon sail","canvas","1"
"luggage","case","1"
"allowance","recompense","1"
"condensation","activity","1"
"grinding wheel","wheel","1"
"meralgia","pain","1"
"chrysopid","lacewing fly","1"
"switcheroo","switching","1"
"eyewash","lotion","1"
"papaverine","muscle relaxant","1"
"bondsman","bond servant","1"
"professional wrestling","grappling","1"
"slovene","slavic","1"
"apache devil dance","ritual dance","1"
"constructive eviction","compulsion","1"
"blow","surprise","1"
"frill","adornment","1"
"impersonation","humor","1"
"divider","soul","1"
"alert","sign","1"
"infield","piece of land","1"
"stetson","hat","1"
"productivity","ratio","1"
"ricinus","rosid dicot genus","1"
"white stork","stork","1"
"roach","cyprinid fish","1"
"symbolization","meaning","1"
"angrecum","orchidaceous plant","1"
"fire door","door","1"
"diomedea exulans","albatross","1"
"dna chip","microprocessor chip","1"
"escapist","woolgatherer","1"
"ethologist","zoologist","1"
"stuff and nonsense","nonsensicality","1"
"calvados","brandy","1"
"colonnade","construction","1"
"storm centre","commotion","1"
"national institutes of health","agency","1"
"garden sorrel","dock","1"
"life story","story","1"
"november 11","national holiday","1"
"stopper","act","1"
"lindera","magnoliid dicot genus","1"
"floozie","prostitute","1"
"private property","property","1"
"cubist","painter","1"
"northwest by west","compass point","1"
"yawner","person","1"
"armor","military force","1"
"badgering","harassment","1"
"oldtimer","greybeard","1"
"smoothbark","eucalyptus tree","1"
"lunge","stab","1"
"horseplay","gambol","1"
"pawer","disagreeable person","1"
"pronunciation","voice communication","1"
"repatriation","return","1"
"celiocentesis","centesis","1"
"rimactane","antibacterial drug","1"
"green thumb","speciality","1"
"alto","vocalist","1"
"operating surgeon","md","1"
"never-never land","mythical place","1"
"beta-interferon","interferon","1"
"aconitum","magnoliid dicot genus","1"
"teratoma","tumor","1"
"fish filet","slice","1"
"natural order","creation","1"
"small voice","conscience","1"
"metaphor","figure of speech","1"
"title","denomination","1"
"ddt","pollutant","1"
"line of defense","defensive structure","1"
"medical intern","doctor","1"
"tappa","textile","1"
"macaroon","cookie","1"
"remilitarisation","militarisation","1"
"sunray","beam","1"
"vomitus","excreta","1"
"genus lithospermum","plant genus","1"
"population","grouping","1"
"saint valentine's day","day","1"
"nose candy","cocain","1"
"malaise","uncomfortableness","1"
"sargassum bacciferum","brown algae","1"
"melaena","faeces","1"
"sudra","hindu","1"
"italian parsley","parsley","1"
"meticulousness","conscientiousness","1"
"erysimum cheiranthoides","weed","1"
"oesophagitis","rubor","1"
"talking picture","motion-picture show","1"
"antiphon","church music","1"
"parus caeruleus","titmouse","1"
"nitrocellulose","cellulose ester","1"
"issue","relation","1"
"ply","layer","1"
"melange","variety","1"
"raftsman","traveller","1"
"citrange tree","citrus tree","1"
"row","succession","1"
"unix guru","computer guru","1"
"hemianopia","visual defect","1"
"downhill","skiing race","1"
"pig","police officer","1"
"satisfaction","emotional state","1"
"wedding picture","exposure","1"
"association theory","scientific theory","1"
"fire trench","trench","1"
"wind scale","graduated table","1"
"composite school","gymnasium","1"
"resilience","repercussion","1"
"kibble","pail","1"
"dogtrot","lope","1"
"imaginary creature","imagination","1"
"acceptation","sense","1"
"sobersides","grownup","1"
"exocrine gland","secretory organ","1"
"employment","line of work","1"
"superman","lsd","1"
"purple trillium","trillium","1"
"overproduction","production","1"
"lancet arch","gothic arch","1"
"maturation","body process","1"
"huffishness","gall","1"
"cingulum","bodily structure","1"
"middle irish","irish gaelic","1"
"country","territorial division","1"
"nervus","fiber bundle","1"
"staff","musical notation","1"
"grate","noise","1"
"calorie chart","listing","1"
"grand dragon","chief","1"
"ampleness","bigness","1"
"ne","inert gas","1"
"branchlet","branch","1"
"curcuma longa","herb","1"
"chimakum","salish","1"
"grigori potemkin","politico","1"
"pfannkuchen","griddlecake","1"
"tabour","tympan","1"
"pakistani","asian","1"
"horsehair wig","wig","1"
"auricula","pouch","1"
"bose-einstein statistics","law of nature","1"
"cooler","drink","1"
"dancing","performing arts","1"
"nerves","will power","1"
"phone call","telephony","1"
"graphic symbol","printed symbol","1"
"gingiva","animal tissue","1"
"pothook","claw","1"
"pulque","intoxicant","1"
"denotation","substance","1"
"athlete's heart","ticker","1"
"skeptic","intellect","1"
"family labiatae","asterid dicot family","1"
"apomorphine","morphine","1"
"samia cynthia","silkworm","1"
"sculptural relief","sculpture","1"
"valise","overnighter","1"
"dubnium","chemical element","1"
"splutter","utterance","1"
"order sclerodermatales","fungus order","1"
"trephination","surgical procedure","1"
"black bearberry","bearberry","1"
